x,y,z
0.253080,8.133888,-5.304743
0.204916,8.071514,-5.398073
0.207314,8.100574,-5.372726
0.202568,7.962089,-5.324323
0.265587,8.148678,-5.244146
0.316604,8.256772,-5.157059
0.303662,8.093679,-5.121543
0.201379,7.713781,-5.221068
0.309665,8.073600,-5.064155
0.362905,8.343618,-5.010088
0.361923,8.291954,-4.949543
0.382884,8.323920,-4.891636
0.294095,8.013878,-4.974742
0.374792,8.276597,-4.924466
0.370726,8.270979,-4.944642
0.347822,8.164712,-4.910921
0.338479,8.132726,-4.898143
0.416725,8.372416,-4.882875
0.353404,8.199251,-4.918115
0.448675,8.555987,-4.918088
0.431581,8.506702,-4.882872
0.419766,8.486558,-4.843253
0.292564,8.326064,-4.951493
0.416767,8.710946,-4.981095
0.534429,8.951581,-4.870879
0.616453,9.161072,-4.837851
0.612026,9.114039,-4.782976
0.618889,9.124633,-4.727434
0.473823,8.688487,-4.540371
0.541598,8.882187,-4.555052
0.529325,8.865338,-4.495551
0.545960,8.900495,-4.475144
0.554523,8.922602,-4.451645
0.491925,8.789066,-4.374143
0.360743,8.477243,-4.105339
0.451749,8.728944,-4.301226
0.467647,8.728701,-4.328848
0.458755,8.721855,-4.342329
0.422484,8.679372,-4.250690
0.462356,8.727092,-4.299296
0.483418,8.649682,-4.198992
0.494004,8.619522,-4.197793
0.520795,8.698602,-4.303790
0.458634,8.496450,-4.068408
0.418746,8.366962,-3.878313
0.419704,8.404951,-3.813058
0.442874,8.473708,-3.848808
0.416452,8.431036,-3.629648
0.411873,8.453351,-3.558005
0.380774,8.423228,-3.490056
0.371425,8.418910,-3.456943
0.314634,8.351648,-3.169911
0.410735,8.467771,-3.653348
0.445575,8.492774,-3.766013
0.446557,8.535378,-3.793790
0.502764,8.527513,-4.049762
0.500660,8.612844,-4.011698
0.402790,8.624930,-3.593847
0.499967,8.673855,-3.905386
0.466486,8.674141,-3.780776
0.425336,8.690027,-3.636619
0.380999,8.761161,-3.384012
0.396247,8.791769,-3.441588
0.384361,8.786622,-3.427127
0.352900,8.825907,-3.345119
0.334463,8.868866,-3.271573
0.393781,8.766139,-3.545597
0.347862,8.774315,-3.426080
0.298166,8.894847,-3.238613
0.281621,8.925571,-3.185056
0.220189,8.996011,-3.017978
0.217344,9.076296,-3.026035
0.245334,9.018089,-3.082836
0.227366,9.057895,-3.065207
0.360194,8.771471,-3.347787
0.310041,8.896510,-3.255745
0.275149,9.015715,-3.140105
0.281225,9.050616,-3.162925
0.418504,8.702303,-3.395430
0.408183,8.731048,-3.375891
0.373630,8.848505,-3.373260
0.390047,8.813216,-3.421159
0.396327,8.839176,-3.456080
0.422273,8.820569,-3.430437
0.377847,9.010057,-3.445119
0.463601,8.716856,-3.502378
0.449753,8.841824,-3.495846
0.528069,8.531882,-3.565539
0.515149,8.597734,-3.569623
0.528912,8.578261,-3.602771
0.536785,8.558534,-3.621704
0.504709,8.667604,-3.662185
0.518866,8.622565,-3.665029
0.619656,8.298185,-3.627612
0.573671,8.406490,-3.712030
0.625494,8.245787,-3.669165
0.634414,8.145260,-3.670886
