scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,prediction_error,z_redistributed,vx,vy,vz,vyaw,pose_uncertainty,velocity_uncertainty,innovation_x,innovation_y,innovation_z,innovation_yaw,innovation_magnitude
35,cloud000175.pcd,2.209689260535647,-0.14119931544499842,0.0,-0.1350060345342061,-7.73527598760745,0.5299871546086266,2.671844401522578,True,0.0,0.0,0.0,0.0,0.0001938801585617312,40.0,2.6348249960043244,-0.44176751230148975,0.0,-0.03593343085912065,2.671844401522578
36,cloud000180.pcd,2.279902789772598,-0.15275613721756864,0.0,-0.13658038283904694,-7.825479500958406,0.5343920030855229,2.7477271824957965,True,0.0,0.0,0.0,0.0,0.00018885798839966678,40.0,2.710583228140083,-0.4461494473752695,0.0,-0.06077749055956097,2.7477271824957965
37,cloud000185.pcd,2.3475825534214687,-0.16346978173258847,0.0,-0.1352541565288558,-7.749492330705246,0.533297377352239,2.7620617585493674,True,0.0,0.0,0.0,0.0,0.0001841718351844032,40.0,2.7275813352774985,-0.43177362384973106,0.0,0.053448622379932156,2.7620617585493674
38,cloud000190.pcd,2.404176632588172,-0.17273379956515353,0.0,-0.13049658941554737,-7.4769038143624345,0.5256157700089719,2.718901495918067,True,0.0,0.0,0.0,0.0,0.00018027392308232146,40.0,2.674004741148445,-0.4377141208251519,0.0,0.22478953990656161,2.718901495918067
39,cloud000195.pcd,2.456008280965991,-0.18149196929062728,0.0,-0.1225140098081138,-7.019535693229294,0.5274035184212339,2.685216981175361,True,0.0,0.0,0.0,0.0,0.0001767043822826961,40.0,2.617674131134422,-0.442317291538588,0.0,0.40314735865206286,2.685216981175361
40,cloud000200.pcd,2.5191770166023932,-0.19264903589749513,0.0,-0.1090595289844195,-6.24865072649191,0.5173295545104868,2.64701056846921,True,0.0,0.0,0.0,0.0,0.00017232902738222635,40.0,2.5511513203988687,-0.4505926059645018,0.0,0.543376658925387,2.64701056846921
41,cloud000205.pcd,2.5806674113973473,-0.2012977125994099,0.0,-0.09368656439676158,-5.36784473701504,0.5322852708034164,2.6736649433492112,True,0.0,0.0,0.0,0.0,0.00016820587215557678,40.0,2.5700172236168406,-0.3614751240341467,0.0,0.6425195983873377,2.6736649433492112
42,cloud000210.pcd,2.631419031630728,-0.20652873628330512,0.0,-0.08202236641948767,-4.699535421512213,0.5190942319414564,2.698265406121635,True,0.0,0.0,0.0,0.0,0.00016494327144090165,40.0,2.6165385552347056,-0.2696894225113886,0.0,0.6013566381345657,2.698265406121635
43,cloud000215.pcd,2.69235316101719,-0.2113278839837333,0.0,-0.06861033589147428,-3.9310826775564287,0.527061461086691,2.7486681275187306,True,0.0,0.0,0.0,0.0,0.00016118812286914803,40.0,2.6765051952880374,-0.21080048049401498,0.0,0.5891176217504972,2.7486681275187306
44,cloud000220.pcd,2.7492347483457604,-0.21396729370504441,0.0,-0.05606065024674001,-3.2120386558972394,0.5186409171066018,2.842190497679245,True,0.0,0.0,0.0,0.0,0.00015788124781839066,40.0,2.772598348179882,-0.12865363603876434,0.0,0.6117135495494518,2.842190497679245
45,cloud000225.pcd,2.8090249365029822,-0.21418955724053254,0.0,-0.044522143630218586,-2.550930924886787,0.5317992198185899,2.924007968659004,True,0.0,0.0,0.0,0.0,0.00015459329956757817,40.0,2.871015237972087,-0.010672687557931604,0.0,0.5540579372716605,2.924007968659004
46,cloud000230.pcd,2.869175670528538,-0.21349333093136072,0.0,-0.03375595500426858,-1.9340737551781007,0.5294058471787491,2.975524473713713,True,0.0,0.0,0.0,0.0,0.00015141829947746692,40.0,2.928787463346325,0.03389981716745083,0.0,0.5242143555938567,2.975524473713713
47,cloud000235.pcd,2.9304367008156604,-0.21149150367687358,0.0,-0.02294992089727391,-1.3149336075728864,0.525202931464223,3.069128199383516,True,0.0,0.0,0.0,0.0,0.00014834768104979147,40.0,3.020903203723842,0.09871408198717616,0.0,0.5328670265643767,3.069128199383516
48,cloud000240.pcd,2.9856594056334753,-0.2072239344603916,0.0,-0.012944550082209034,-0.7416680874063004,0.5316117275435431,3.1235458952796114,True,0.0,0.0,0.0,0.0,0.0001456745741819396,40.0,3.0646586983786483,0.23683452600469707,0.0,0.5552615866979514,3.1235458952796114
49,cloud000245.pcd,3.047296098230641,-0.20131785123109763,0.0,-0.0024668760963547365,-0.14134158890283421,0.5210953724712665,3.180216476927295,True,0.0,0.0,0.0,0.0,0.00014279796073255586,40.0,3.1213435938782315,0.2990899458728602,0.0,0.5305998618101508,3.180216476927295
50,cloud000250.pcd,3.1037244982431047,-0.19413688014675595,0.0,0.006506314122635978,0.37278433941340466,0.5147485344379816,3.282673672770539,True,0.0,0.0,0.0,0.0,0.00014029290237278593,40.0,3.2166358241892,0.4093429698034756,0.0,0.5115063533485724,3.282673672770539
51,cloud000255.pcd,3.1643436381844756,-0.1850970454674405,0.0,0.01594419665380306,0.9135351759895252,0.5231659586965692,3.343583615529476,True,0.0,0.0,0.0,0.0,0.0001376909558906011,40.0,3.2684896299501776,0.48741380914317295,0.0,0.5088759294777612,3.343583615529476
52,cloud000260.pcd,3.225604488851071,-0.17540905111444272,0.0,0.024975261771760335,1.4309770917562938,0.5272434783144709,3.405954526339006,True,0.0,0.0,0.0,0.0,0.0001351571729831892,40.0,3.3290401774069354,0.5264654683812212,0.0,0.4907665873933424,3.405954526339006
53,cloud000265.pcd,3.284269934759863,-0.16566421618433594,0.0,0.03314802632909569,1.8992420078457144,0.53037669323332,3.5091490749917793,True,0.0,0.0,0.0,0.0,0.00013284514576644875,40.0,3.4294820472284635,0.5696664523434118,0.0,0.47776589594465363,3.5091490749917793
54,cloud000270.pcd,3.3392331015797314,-0.15545610124868023,0.0,0.040554624685347776,2.3236088342074916,0.5261742884273491,3.5590715210881325,True,0.0,0.0,0.0,0.0,0.00013074028475496243,40.0,3.4689178424205998,0.6442698644681404,0.0,0.46745634715426243,3.5590715210881325
55,cloud000275.pcd,3.4034529917956013,-0.14334794087997388,0.0,0.04865982247332,2.7880024595770707,0.5305272176532564,3.616375278769858,True,0.0,0.0,0.0,0.0,0.00012835958068531907,40.0,3.526741039665551,0.664939568467466,0.0,0.4451102855729295,3.616375278769858
56,cloud000280.pcd,3.4637180946640953,-0.13232857148530816,0.0,0.056012856941488796,3.2093003012173646,0.5375505278392742,3.5761289156568568,True,0.0,0.0,0.0,0.0,0.0001261448137979695,40.0,3.4927392987345045,0.6386413147921834,0.0,0.4261542954297178,3.5761289156568568
57,cloud000285.pcd,3.5174017479120123,-0.12222103618881487,0.0,0.06239480155070315,3.5749587924116146,0.5285537916344007,3.5323571373700755,True,0.0,0.0,0.0,0.0,0.00012418075266627175,40.0,3.4479142950239154,0.6491718303018124,0.0,0.40989010093151285,3.5323571373700755
58,cloud000290.pcd,3.573903455753497,-0.11179842157520403,0.0,0.06929729415093126,3.970442486524967,0.5349973074942838,3.451097898839828,True,0.0,0.0,0.0,0.0,0.00012209848614738297,40.0,3.3696092947471983,0.6215765933327239,0.0,0.4116460211769957,3.451097898839828
59,cloud000295.pcd,3.6303321789894634,-0.10107033742781227,0.0,0.07624675137454288,4.3686170553446155,0.5306968462161469,3.3888544949808352,True,0.0,0.0,0.0,0.0,0.00012001388328498856,40.0,3.305119558168314,0.6283608542576486,0.0,0.4070406996870193,3.3888544949808352
60,cloud000300.pcd,3.6812729007117677,-0.09160263467554014,0.0,0.08183876666022394,4.689015930186783,0.5311783351193403,3.3684718579891473,True,0.0,0.0,0.0,0.0,0.00011815713655580456,40.0,3.2926374626945094,0.6119605634510995,0.0,0.36144911966435184,3.3684718579891473
61,cloud000305.pcd,3.7359612255274315,-0.08141410570800627,0.0,0.08883144321302304,5.089666784162262,0.5332416193550876,3.258063955123902,True,0.0,0.0,0.0,0.0,0.0001161238048789524,40.0,3.1779448208763994,0.592056585639821,0.0,0.40634523565927066,3.258063955123902
62,cloud000310.pcd,3.787807189302165,-0.07212843807948519,0.0,0.09605203049440225,5.503375960991131,0.5313285474165103,3.1591555521513515,True,0.0,0.0,0.0,0.0,0.00011416962593515322,40.0,3.080859410478736,0.551785219389606,0.0,0.4290712845396306,3.1591555521513515
63,cloud000315.pcd,3.8355987315876945,-0.06286645615401848,0.0,0.10386211440376422,5.950860806640606,0.5300858642293373,3.0740311590553357,True,0.0,0.0,0.0,0.0,0.00011233850044009727,40.0,2.9797752951037193,0.5774792694555756,0.0,0.4869542595374707,3.0740311590553357
64,cloud000320.pcd,3.878173483852741,-0.05485954791350524,0.0,0.1102974851612763,6.319580390647956,0.5329479261148753,3.0229468344116524,True,0.0,0.0,0.0,0.0,0.00011071093822983626,40.0,2.93861813808678,0.5526572565610955,0.0,0.44418572574676257,3.0229468344116524
65,cloud000325.pcd,3.9200028409932828,-0.047113772627077576,0.0,0.11584614902629249,6.637495412050131,0.5369378639028465,3.00754436033589,True,0.0,0.0,0.0,0.0,0.00010913171319347552,40.0,2.932430320923905,0.543014472650566,0.0,0.3889868568555619,3.00754436033589
66,cloud000330.pcd,3.964361347312749,-0.03882623908869938,0.0,0.12065261718778976,6.912885752067929,0.5261080079649124,3.0104886604583077,True,0.0,0.0,0.0,0.0,0.00010748661844960534,40.0,2.942638904632475,0.5497754689448615,0.0,0.31884978506799166,3.0104886604583077
67,cloud000335.pcd,4.005347620728266,-0.030783785717369762,0.0,0.12540040876010125,7.184914171169158,0.5339332786744542,2.9725132716900444,True,0.0,0.0,0.0,0.0,0.00010596655815015223,40.0,2.8982244579693703,0.5686985695567407,0.0,0.33572619585864827,2.9725132716900444
68,cloud000340.pcd,4.043660871841022,-0.02322501578741441,0.0,0.13174932969373382,7.548680545128563,0.5360408082686535,2.9472737292412967,True,0.0,0.0,0.0,0.0,0.00010454405267217404,40.0,2.8540651825395944,0.5630746922630725,0.0,0.4729495320052425,2.9472737292412967
69,cloud000345.pcd,4.077176756061737,-0.016632222259227142,0.0,0.13934426607273412,7.983838345315652,0.5404853280083038,2.9424176713374752,True,0.0,0.0,0.0,0.0,0.00010330077609158243,40.0,2.8182678126798626,0.5543717024971133,0.0,0.6386394163236135,2.9424176713374752
70,cloud000350.pcd,4.1121494214684455,-0.009560297614785093,0.0,0.14965368704618814,8.57452465631822,0.5332487605178322,2.9851594163126074,True,0.0,0.0,0.0,0.0,0.00010201555280446565,40.0,2.8109539554772347,0.5684111954566158,0.0,0.8286273673167546,2.9851594163126074
71,cloud000355.pcd,4.135951404414953,-0.004381449600137447,0.0,0.15910666734627443,9.116140531333475,0.527403457679367,2.9906638537064922,True,0.0,0.0,0.0,0.0,0.00010112426473424425,40.0,2.7243407961817034,0.5927635086218516,0.0,1.0819745537548109,2.9906638537064922
72,cloud000360.pcd,4.166956928683531,0.002908113934216621,0.0,0.1739578700998048,9.967051769803831,0.529066830191771,3.0380624539817216,True,0.0,0.0,0.0,0.0,9.995449891494215e-05,40.0,2.680374820412256,0.6301703651267982,0.0,1.2838612102985922,3.0380624539817216
73,cloud000365.pcd,4.19999255042075,0.01073212704003098,0.0,0.1922097031538212,11.012804772176343,0.5131724914810991,3.0976496588170512,True,0.0,0.0,0.0,0.0,9.871074300706975e-05,40.0,2.6549092147441096,0.628777162304865,0.0,1.4668093776629767,3.0976496588170512
74,cloud000370.pcd,4.225206601962729,0.016780370022154732,0.0,0.20789681790938333,11.911610240407452,0.508702981856454,3.177771554827788,True,0.0,0.0,0.0,0.0,9.776937099670335e-05,40.0,2.643904574619558,0.6342089553606342,0.0,1.6449254256405559,3.177771554827788
75,cloud000375.pcd,4.257128355018052,0.02411274836936788,0.0,0.2296529171064463,13.15814290306712,0.5130867782319416,3.237832134945225,True,0.0,0.0,0.0,0.0,9.658205622750947e-05,40.0,2.62859504627723,0.6037843024319953,0.0,1.7915048235791806,3.237832134945225
76,cloud000380.pcd,4.286064391254996,0.030625757301698153,0.0,0.25076829109097654,14.367964715221039,0.5275569153219443,3.306981480259727,True,0.0,0.0,0.0,0.0,9.551873024189435e-05,40.0,2.628264445340614,0.5915775633144359,0.0,1.9179125378186999,3.306981480259727
